Tip,Paylaþým,,,,
Pozitif,Seul'ün kayýp  belediye baþkaný ölü bulundu,,,,
Pozitif,Burada kimin en ufak bir ihmali söz konusuysa herkes bilmelidir ki bunun gereði yerine getirilecektir,,,,
Pozitif,Seçimlerim  çabalarým  sevdiklerim kendime yaptýðým en büyük saygýsýzlýklardý,,,,
Pozitif,Yurtdisinda aldatilma muhabbetinde benimkinin ustune daha cikilmadi isteyen varsa yine anlatirim. Yaz abi okurum ben diyen fav,,,,
Pozitif,Fenerbahçe’de futbol operasyonu Baþkan Ali Koç önderliðinde; Selahattin Baki Mustafa Kemal Danabaþ ve Emre Belözoðlu ile yeni sezonda da devam edecek., ,,,
Pozitif,Cok param olsun hic derdim olmasin sevdiklerim benimle olsun hic borcum olmasin gelecegim guzel olsun duzenli bi hayatim olsun mutlu olayim cok mu sey istiyom,,,,
Pozitif,hele þükür,,,,
Negatif,Çok basit kafasýna sýk Kurtul bunca zaman zaten mahkum hayatý yasamissin motorun birine birde nafaka mi vereceksin gidecek erkekler le yiyecek sikacaksin kafasýna sonra hakime diyeceksin senin sikik kanunun yüzünden diyeceksin,,,,
Negatif,acýmak yok kafasýna sýkacaksýn,,,,
Negatif,adi orospu çocuðu.,,,,
Negatif,Teröre tek çare yakaladýðýnýn ya kafasýna sýkacaksýn ya da Böyle sallandýracaksýn ,,,,
Negatif,hainin kafasýna sýkacaksýn.,,,,
Negatif,Ýþkence çok ayýp kafasýna sýkacaksýn!,,,,
Negatif,Bu kafirin kafasýna 32 el sýkacaksýn...Bir daha bak kimse böyle halt yiyor mu?,,,,
Negatif,Acýmayýn orosbu evladýna. Bunlara acýnmaz kafasýna sýkacaksýn,,,,
Negatif,bu herifinde kafasina sýkacaksýn,,,,
Negatif,Sýkacaksýn kafasýna ,,,,
Negatif,Allah belasýný versin ayný acýyý yaþar inþ Allah böylelerinin kafasýna sýkacaksýn çünkü insan deðil nasýlsa,,,,
Negatif,Bunun kafasýna sýkacaksýn ne emniyeti,,,,
Negatif,Teslim almayacaksýn öldüreceksin,,,,
Negatif,senin gibi aptal orospu çocuklarý bile fikir beyan ediyor ya þaþýrýyorum orospu analý kahpe oðlu seni,,,,
Negatif,sizin gibileri dayaktan öldürmek lazým,,,,
Negatif,oðlaný öldürmek lazým kinlendim,,,,
Negatif,Bu siksokta çok mal var hepsini sikerek öldürmek lazým,,,,
Negatif,Yok pýsmam sonecek gibi deðil öldürmek lazým,,,,
Negatif,bunu sikip öldürmek lazým Þerefsiz,,,,
Negatif,Seni iþkence çektire çektire öldürmek lazým,,,,
Negatif,Böylelerini öldürmek lazým.,,,,
Negatif,orospuya bak kalkmýþ atatürk'ü ýþid'le benzeþtirip diktatör diyor. tarihten kitaptan arþivden bihaber bu kahpelere iþkence edeceksin ya,,,,
Negatif,Umarým kafasý kýrýlmýþtýr. Adi herif  buna iþkence edeceksin hadým edeceksin böylelerini.,,,,
Negatif,Duzenlý bý sekýlde psýkolojýk ýskence edeceksýn bu adýye kendý ýpýný kendý asacak.,,,,
Negatif,Senin ve ailenin kafalarýnýzý tek tek kesip vinçlerde sallandýracaðýz! Yatak odalarýnýza gireceðiz,,,,
Pozitif,Sayýn Bakaným 11. Promosyon SGK DENETMEN YARDIMCISI ilaný bekliyoruz,,,,
Pozitif,kuþum hepsi sizin için,,,,
Pozitif,seviþme savaþ,,,,
Pozitif,Kimse okullarýn açýlmasýný istemiyor niye diye sorunca da virüs var çocuklara bulaþýr sonra da baka sayýlarý artar,,,,
Pozitif,Müdürken bendim o eski þubede. Çok kýzardým böyle þeylere valla... Saygýsýzlýk bu yaa..,,,,
Pozitif,"Lütfen, hiç olmadýðýmýz kadar özveri ve hassasiyetle tüm tedbirlere uyalým",,,,
Pozitif,Kýyamam,,,,
Pozitif,"Ayþenur Parýldak; """"Avludaki çatlaktan usulca baþýný çýkarýp yeþeren o küçük ot gibi hissediyorum bazen.",,,,
Pozitif,Merhaba ozelime gelirmisiniz,,,,
Pozitif,Böyle basit bir dünyada sen benim için çok özelsin,,,,
Pozitif,noktalama sayý etiketleme büyük harfle baþlama spam sayýlýyor kendi kendimizi spamlamayalým lütfenn,,,,
Pozitif,Koskoca bir 2019 yandý kül oldu mu diyeceðiz,,,,
Pozitif,"Görev baþýna !""",,,,
Pozitif,"Ýçimi yakan þeyleri sadece sana anlatmak istedim, sana sustum. en çok sana.",,,,
Negatif,kafayý yedi lan,,,,
Pozitif,semiha anne sizinleyiz,,,,
Pozitif,dadanýn sallayan halasý,,,,
Pozitif,herkes öldürür sevdiðini diye düþünmek istiyorum??,,,,
Pozitif,destek tiwiti,,,,
Pozitif,Sakarya Hendek’te havai fiþek fabrikasýna ait patlayýcýlarýn kontrollü bir þekilde imha edilmesi esnasýnda meydana gelen patlamada 3 þehit,,,,
Pozitif,Kesinlikleeee,,,,
Pozitif,Yýllarca hizmet verip emeklilik tazminatý alamayacaðýmý bilerek çalýþmak beni mutlu etmiyor.,,,,
Pozitif,Biz öðretmenleri bilmeden yargýladýlar. 'Yatýyorlar' diye oysaki biz bu sürecde canlý dersler verdik,,,,
Pozitif,Ya yeter artýk be,,,,
Pozitif,Bak ciddi söylüyorum bugün canlý için barýþa okuycaz müslümanlar ment atsýn,,,,
Pozitif,biz bugun kimya nasýl olur onu konuþucak arkadaþlar herkesde onu konussun diye zirvenin sahibini hatirlatmaya geldik,,,,
Pozitif,Sonuçta 3 büyükler anlaþýlan bir süre daha dipte kalacak sonrada sýra gelir,,,,
Negatif,Kayserispor keske yok olsan sadece.. var olmasan artik.. yok ol nolur,,,,
Pozitif,En güzel akþamlar sizinle olsun,,,,
Pozitif,NASAnýn Uzayla Ýletiþim Baþkanlýðý böyle bir bina deðildir...,,,,
Pozitif,"Isýtmasý, soðutmasý, mobilyasý ile orta boy bir kent yönetilir",,,,
Negatif,bir þey yapmiyorlarsa polisler neden var amk sinir oluyorum þu olaylarda,,,,
Pozitif,Pazarlýk yaparýz,,,,
Pozitif,biraz övülmeye ne dersin he?,,,,
Pozitif,Yazýklar olsun,,,,
Pozitif,pubg da isim nasýl deðiþtiriliyorrr,,,,
Pozitif,Twitter da kürt sayýsýnýn çok olduðuna yemin edebilirim ama kanýtlayamam.,,,,
Pozitif,Slayers'ta organize olduðumuz gibi organize olursak anket kaybetme olasýlýðýmýz çok düþük.,,,,
Pozitif,Kaç maçtýr sýrýtmadan takýr takýr top oynayýp sadece bir hata yaptý diye faturayý Rýdvan kesip ertesi maç kesik atan sergen hoca yakýþmadý,,,,
Pozitif,Prosinecki ellerine saðlýk oyuncularýn emeklerini çala çala düþürdün bizi,,,,
Pozitif,Kavgacý takým olacaðýz týpký 2015 deki gibi,,,,
Pozitif,Vida nýn geçen haftada kesilmesi lazýmdý. Gram haz almýyorum,,,,
Pozitif,5 dk önce kayseri kurtardým derken rize kayseriyi puantajda altýna aldý,,,,
Pozitif,çok özledik lütfen ona söyle,,,,
Pozitif,Adýný Emel de yapsan Temel de yapsan kaçamayacaksýn. Hesabýný korumaya alarak twetlerini silerek kurtulamayacaksýn.…,,,,
Pozitif,sýrf tagdaki minik mor kalpciði görmek için tekrar atýyorum,,,,
Pozitif,Allah rahmet eylesin bir daha yaþanmasýn bunlar milletimizin baþý saðolsun.,,,,
Pozitif,kayseri düþerse baþkalarýna üzülürüm ama mensah'ý da ucuza alýrýz,,,,
Pozitif,Baktýkça içim bi hoþ oluyo. bence sen de kesin seversin.,,,,
Pozitif,Ben bu kavuþamamaya dayanamýyorum,,,,
Pozitif,Ben hesabýn alaman usulü olanýný severim,,,,
Pozitif,"Canlarým, aradaki fark çok az had gidelim yorum yapalým. Görenler rt yapsýn orda toplanalým.",,,,
Pozitif,Allahýn dediði olur,,,,
Pozitif,Askýda bulut,,,,
Pozitif,Belki üstümüzden bir kuþ geçer,,,,
Pozitif,"Engin Özkoç: “Biz ‘Çoklu baro bu ülkede kutuplaþma, bölünme yaratýr’ demiþtik",,,,
Pozitif,Sen hadsiz olur musun hiç. Tamam o kelimeyi sevmediysen ben baþka  bulurum sana.,,,,
Pozitif,tmm daha önce de uyumlu çift gördük ama kaþý gözü çenesi burnu boyu tipi bile bu kadar yakýþan bir çift görmedik…,,,,
Pozitif,"""""Sizin uygarlýðýnýzla bizimki arasýndaki büyük farklardan biri: Siz her ne alanda olursa olsun yükselmek için çabalayan insan",,,,
Negatif,Lan Kayseri ne mal takýmsýn,,,,
Pozitif,"“1914’te ingilizlere sipariþ verilen  ve hiç gelmeyen 2 savaþ gemisi için ödenen 5.000.000’u talep etmeyeceksiniz.”…""",,,,
Pozitif,Bu kadýn o yorumcularýn arasýnda belkide ilk elenen kiþi ama onlardan daha tecrübeli ve objektif yorum yapýyor.,,,,
Pozitif,Twitlerimi ben yazýyorum ama sýkýþýp kývýrmak zorunda kalýrsam eðer;,,,,
Pozitif,Evet gardaþ haklýsýn,,,,
Pozitif,Ankara Onkoloji Hastanesinde (Demetevler) yatmakta olan 30 yaþýndaki hasta için B-(negatif) acil kan ihtiyacý vardýr. ,,,,
Negatif,"Ýki yüzün var, bir tane beynin yok gerizekalý",,,,
Pozitif,Bunu getirelim,,,,
Pozitif,Avukatlara polis ablukasý ve müdahale devam ediyor. Savunmanýn onurlu direniþçilerine revâ  görülen hukuksuzluk,,,,
Pozitif,anlýk rizeliler,,,,
Pozitif,Kimse dusmicek galiba amk muhtesem bi ligimiz var ne dusucek takimlar belli ne cikicaklar.,,,,
Pozitif,Sirf gozume battgi icin atiyorum,,,,
Pozitif,"Bir tepe, ardýnda deniz. ",,,,
Pozitif,"Rüzgar vuruyor yüzüne, hafif.",,,,
Pozitif,"Arkanda yeþil, önünde mavi.",,,,
Pozitif,Kalbin geçiriyor dümene bedende.,,,,
Pozitif,Bunu hakketiðin gibi daha iyisini de hakediyorsun Mono!!,,,,
Pozitif,Ayrýntýyý görmeyen var mý?!,,,,
Pozitif,"Tebriz, Kapalý Çarþý, Kebir Saber Çaycý'nýn dükkaný",,,,
Negatif,Üst komþum sen tam bir erkek orospususun,,,,
Pozitif,"Allah'ým, çocuklara kýyanlarý affetme.",,,,
Negatif,þimdi bu kiþi psikopat orasý doðru ama bence bu sadece bir am krizi deðil kullanýlmýþ.,,,,
Pozitif,Ülkemiz Yeni Cumhurbaþkanlýðý Sisteminde 2. yýlýný tamamladý.,,,,
Pozitif,dilenciyim miranýn saçlarýný yeni sezonda kaldýrýn,,,,
Pozitif,Melek Ýpek’in ekmeðini yiyen suyunu içen;,,,,
Pozitif,Twitter'da bulunmanýn amacý ne?? bilmelisin ki aðzýndan çýkan herþey yazýlmakta hatýrlatayým,,,,
Pozitif,Dað Keçilerine Dokunma,,,,
Pozitif,Yemin etmiþler sanki güzel ve bu topraklara ait ne varsa yoketmeye,,,,
Pozitif,Beþiktaþ:2 Kasýmpaþa:2,,,,
Pozitif,seni seviyoruz çok seviyoruz ,,,,
Pozitif,Karým Matrix seviyorsa 7 kere nikah kýyarým.,,,,
Pozitif,5'i gördü!,,,,
Pozitif,Ah Beþiktaþ ah..,,,,
Pozitif,Uzun zamandýr beklediðin baget çanta çekiliþi geldi.,,,,
Pozitif,Datça Belediyesi olarak bugünden itibaren hiç bir gösteri ve etkinliðimizde havai fiþek kullanmayacaðýmýzý kamuoyuna saygýyla duyururuz,,,,
Pozitif,Süper gol,,,,
Pozitif,Hocam arþivde bir video daha buldum. Tanýdýk geldi mi,,,,
Pozitif,70.000 olmamýz için 290 kiþi lazým.,,,,
Pozitif,Bu adam çok güldürüyo beni ya haydi beni everiyoz,,,,
Pozitif,"Sensiz yüzüm gülmüyor, býrak be güzelim yüreðim yanýyor.",,,,
Pozitif,iyi ki mutuallarimin hepsini seviyom da engellemeye kiyamiorum,,,,
Pozitif,Atýyorlar zaten,,,,
Pozitif,bir ay doðar ilk akþamdan ,,,,
Pozitif,Türkiye'nin Gündemi,,,,
Pozitif,"Kýrklareli’de, 2019 yýlýndan beri zaten sokak canlýlarýna zarar vermemek için havai fiþek kullanmayacaðýmýzý açýklamýþ",,,,
Pozitif,Pompeo duyurdu! ABD'den Çin'e Sincan yaptýrýmý... ,,,,
Pozitif,Bizim yazlýk niye ilkokulda benden -büyük olasýlýkla- hoþlanan çocuklarýn yazlýðý ile ayný sitede çocuðun yüzüne bakamýyorum,,,,
Pozitif,twitter fenomeni olduktan sonra otomatik hayat koçu mu olunuyo ben anlamýyorum herkes onu yapýn bunu yapýn diyo,,,,
Pozitif,Gözyaþým pýt,,,,
Pozitif,Çekiliþi yaptýk arkadaþlar. Kazanan arkadaþlar dm den papara no býraksýnlar lütfen,,,,
Pozitif,Komik bir medyalarý var.. Keþke hep Trabzon la yarýþsak,,,,
Pozitif,merhaba arkadaþým,,,,
Pozitif,Cem Belevi’den sevgilisine sette ilk gün çiçeði,,,,
Pozitif,Mehmet hocamin dedigi sakatliklar yavas yavas ortaya cikiyor. Bugunde gokhan ve burak sakatlandi.,,,,
Pozitif,Gizem Karaca: Sosyali býrak uçakta mesafe yok!,,,,
Pozitif,Burak’ýn ikiz Bebekleri,,,,
Pozitif,"Bir ay önce bugün, kadersel bað. Gitmez olaydým, görmez olaydým",,,,
Pozitif,Gergerlioðlu'nun Þenyaþar ailesi ile adliyeden yapmak istediði canlý yayýna izin verilmedi,,,,
Pozitif,Tam da senin anlattýðýn gibi yap rahatlayadýklarý için intihar ediyorlar,,,,
Negatif,Elif’e bak her parkurda avantajlý sen iken hic sesin cýkmýyordu hepiniz hazýmsýzsýnýz,,,,
Pozitif,Ýþ cinayetleri raporu: 6 ayda yaklaþýk bin iþçi hayatýný kaybetti,,,,
Pozitif,Fotoðraf çekmek için poz werme prowalarý yapan nice manken uydurmasý köylü kýzý tanýdým ben.,,,,
Pozitif,"""Diyarbakýr'da kahvehaneye ateþ açýldý: Bir çocuk öldü, 3 yaralý",,,,
Pozitif,seni bekliyorum ,,,,
Pozitif,Prof. Dr. Berk Üstündað: Bilgisayara göre olan zor ile insana göre olan zor arasýnda da farklýlýklar vardýr,,,,
Pozitif,Ortaçað’da iki farklý halk okyanusu aþmýþ ,,,,
Pozitif,Amerika yerlileri ve Polinezyalýlarýn 13. yüzyýlda Pasifik Okyanusu aþtý,,,,
Pozitif,"Gözden uzak olanýn gönülde yarattýðý sýkýntýlarla uðraþýyorum, halledicem.",,,,
Pozitif,bu bir planlý tweettir,,,,
Pozitif,Çaykur Rizespor Teknik Direktörü Ünal Karaman: Çok özel bir üç puan oldu.,,,,
Negatif,Karýmý önce yalayacak sonrada en az 4 posta atacak kiþi varsa beðenerek takip etsin. Ýlgili kiþilere dm açýyoruz.,,,,
Pozitif,Adana’daki termik santrale itiraz: ‘2 bin erken ölüme neden olacak,,,,
Pozitif,Sakarya'nýn Taþkýsýðý köyünde havai fiþek fabrikasýnýn malzemelerini taþýyan kamyonda meydana gelen patlama sonucu þehit…,,,,
Pozitif,Fransa'da ölenlerin sayýsý 29 bin 979'a yükseldi,,,,
Pozitif,ya sadece avucunu öpüyo ya avucunu ,,,,
Pozitif,“Namazda saða sola bakmaktan sakýn.,,,,
Pozitif,Cevabýný veremedin mi? Ne kadar eksik hissettin,,,,
Pozitif,Kötü biri deðilim ama bazýlarýna karþý iyi olmak hiç içimden gelmiyor.,,,,
Pozitif,Bu Koita neden çýktý þimdi?,,,,
Pozitif,Açýk ve net söylüyorum,,,,
Pozitif,DSÖ’nün Acil Durum Ofisi’ni Ýlk Türkiye’de açmasý hayra alamet deðil.,,,,
Pozitif,ALLAHIM SABIR VER,,,,
Negatif,Umut varken gitti bý malý aldý oyuna aq,,,,
Negatif,Niþanlýsý Nursedayý Götü Kanayana Kadar Sikiyor,,,,
Pozitif,YANLIZ yaþýyorum,,,,
Pozitif,neyse bu ruya beni supheye dusurdu ydtyi kontrol etmek istedim ama cevaplarin cogunu unutmusumdur,,,,
Pozitif,bu yýlda böyle olsun,,,,
Pozitif,Günleri karýþtýrýp sýnav baþvurusu kaçýrdýðýmý farketmem rezaleti yaþanalý bir kaç saniye oldu,,,,
Negatif,Sekai çiftinden daha çok moment veriyorlar aq itiyle,,,,
Negatif,hýrsýz hepsi,,,,
Pozitif,11 yýlda 3 kez patlayan havai fiþek fabrikasý olan bir ülke olarak nükleer santral yapýyoruz.,,,,
Pozitif,inþallah bu sessizliðin klip çektiðin içindir.,,,,
Pozitif,"Çok yakýnda sosyal yaþamýnda büyük geliþmeler olacak, sonuçta mutluluk var.",,,,
Pozitif,Geceniz iyi olsun,,,,
Pozitif, Ýzmir/Buca Hasanaða Bahçesi'ndeki basketbol sahamýzýn fotoðraflarda da görüldüðü üzere çember kýrýk yardýmcý olur musunuz,,,,
Pozitif,Ýletiþim ve Sosyal Medya Komisyonunu Toplantýmýzý Gerçekleþtirdik. ,,,,
Pozitif,"Sakarya Taþkýsýðý bölgesinde, havai fiþek fabrikasýndaki malzemeleri imha edilecek alana taþýyan kamyonda patlama meydana geldi",,,,
Pozitif,3.fotoðraf tahminimce öyle,,,,
Pozitif,günde 50 tivit atýyo ben size sadece birini atýyorum :d,,,,
Pozitif,Covid-19 sebebiyle vefat eden ihtiyaç sahibi tüm saðlýk çalýþaný çocuklarýn eðitim masrafýný üstleneceðiz,,,,
Pozitif,Amme hizmeti abshsjs,,,,
Pozitif,yaralarýný seviyoruz,,,,
Pozitif,DELÝ GÝBÝ SEVERÝM SENÝ BEN,,,,
Pozitif,Beþiktaþlýlarý konyasporlu yapyýðýmýz doðrudur,,,,
Pozitif,"Eþinin kurduðu, sahibi olduðu Ýpek holding adýna 'TMSF yetkilileri' Melek Ýpek i evinden çýkardýlar.",,,,
Pozitif,Ýns gerçekleþir,,,,
Negatif,ismin gibi saçma bir yorum yapmýþsýn kardeþim tebrikler,,,,
Pozitif,Bizde sayýn baþkanýmýza hayýrlý ömürler diliyoruz ????,,,,
Pozitif,Hayatlarý yanlýþ,,,,
Pozitif,Bi reading çözeyim dedim hepsi yanlýþ çýktý býraktým dýþarý çýkýyom,,,,
Pozitif,ÝP ve CHP'de yönetici olmanýn en önemli kriteri Tayyip Erdoðan ve ailesine hakaret etmiþ olmak sanýrým...,,,,
Pozitif,baþýboþ boþ bi boþlukta,,,,
Negatif,Ýyi aksamlar bdsm sahibe mistress kole slave fetiþ,,,,
Pozitif,Eylüle kadar boþuna beklemeyelim lutfen. 3 ders hakkýmýz bizlere geri verilsin.,,,,
Pozitif,"12 milyon ABD, 7 milyon AB Avcýsý doðal avlaklarda avlanýyor. Planlý ve yasal avcýlýk, av türlerini tehdit etmez.…""",,,,
Pozitif,Mutlu huzurlu akþamlar,,,,
Pozitif,Sözlerim kefil ve Rap oyun deðil,,,,
Pozitif,"Benim iþim bu koç, susmak iþ deðil",,,,
Pozitif,Topunuza birden cevap olacaksa,,,,
Pozitif,Sözleþmeli Memurlarýn feryadýný duyun lütfen.,,,,
Pozitif,diyecek bisey bulamadim bu guzellige,,,,
Pozitif,Soðuk söz duymuþ bir gönül kýrk yaz görse ýsýnmaz....!!,,,,
Pozitif,Özel hastanelerde çalýþan meslektaþlarýmýzýn ticari kaygý ile iþ yapan yöneticilerin insafýna býrakýlmamasý lazým.,,,,
Pozitif,Ulan bende eskiden komunisttim jdfýjgýfjgsdfds ayný yollardan geçmiþiz,,,,
Negatif,ben saka yapiyosunuz saniyodum harbiden enayiyi savunanlar varmis,,,,
Negatif,Gerizekalýcým  Ben sana haklý olduðun için haklýsýn demiyorum kii ,,,,
Pozitif,güzel bir kapak,,,,
Pozitif,Kanki isterse koþar havuzu Berkan o,,,,
Pozitif,gözler kalbin aynasýdýr,,,,
Pozitif,6 tane buldum ben benim icin 7.,,,,
Pozitif,Güneþ batana kadardýr efendiliðimiz .,,,,
Pozitif,Nüfusun nüfuz olduðunu bildiði için,,,,
Pozitif,Hayýrlý iþlerin ceremesi çok olur elbette. Allah rýzasý için yapýlan iþlerde engeller hep vardýr. Önemli olan engele raðmen hayýr yapabilmek,,,,
Negatif,Sevdiðiniz çingene götünü yirtiyor,,,,
Pozitif,biz de hep sizinleyiz,,,,
Pozitif,"Kâbe yeniden heykelle, putla dolsun"""" demekle """"Ayasofya kilise olsun"""" demek aynýdýr!",,,,
Pozitif,Huzur ve kahve ikram edebilirim isterseniz,,,,
Pozitif,Toplantýmýza katýlýp þeref verdiniz sn bakaným inþ en kýsa sürede buluþmak dileðiyle,,,,
Pozitif,Uyuyan kediyi uyandýrmak... O üç göz kapaðýnýn ve göz bebeklerinin hareketi... Anlayamazsýnýz,,,,
Pozitif,Sizinle Daha Güçlüyüz,,,,
Pozitif,bu ne yaman çeliþki,,,,
Pozitif,Gerçekten tatlý deðilsin kuzum boþ yapma ya,,,,
Pozitif,Filim iþi sizin en iyi mesleðiniz,,,,
Pozitif,Kardeþim Aðaoðlu kadar baþýnýza taþ düþsün,,,,
Pozitif,Saatli bomba gibi geziyorsun yine,,,,
Pozitif,"Allah'ým dua bekleyen hasta kullarýna þifa ver!"""" diyebilir miyiz?""",,,,
Pozitif,Çok merak ediyorum bunlara sosyal mesafeyi ihlalden ceza kesildi mi?,,,,
Pozitif,Önce karar verip sonra düþünen bir yapýya sahibim,,,,
Pozitif,Bilmem pek benlik deðil ya ondan ama güzel duruyo,,,,
Pozitif,Bir çift mavi göz ýþýðýndan M.Kemalin askeriyim de dedinmi berat edersin artýk,,,,
Pozitif,Seninle þöyle,,,,
Pozitif,Aðzýný burnunu yerimmmmm,,,,
Pozitif,Bi aferin de size :)),,,,
Pozitif,"Ayakta duracak halin yokken, hayatta duracak nedenlerin varsa, korkma düþmezsin.""",,,,
Pozitif,Zevk almadim ki trajikomik :),,,,
Pozitif,playlistim aþkýrý erkarlý gelmeye baþladý depresyondan çýkmýþ sayýlýr mýyým,,,,
Negatif,sanane dalyarak,,,,
Pozitif,Kilo almaya çalýþtýkça kilo verme sorunsalýýýý,,,,
Pozitif,Canýmmm çok saðol inþallah,,,,
Pozitif,öncesinde þanslarý yaver gitmemiþ,,,,
Pozitif,"Savunmanýn en diri unsuru avukatlarý, barolarý eylem yapamaz",,,,
Pozitif,200’er sayfalýk bir sürü bulmaca kitabým olmasýna raðmen babamýn tek sayfalýk gazete bulmacasýna salça oluyorum,,,,
Pozitif,çýldýrýyorum,,,,
Pozitif,Spora kaliteli içerikler üretmek gurur veriyor,,,,
Pozitif,Ýki gündür bulunamadý!,,,,
Pozitif,Özlenen zamanlar,,,,
Negatif,Vururum direk,,,,
Pozitif,Yine söylüyorum alakasý yok en ufak bir temas olmamýþ 18 19 yaþýna kadar,,,,
Pozitif,Yarýn sýnavýna girecek olan tüm öðrencilerimize baþarýlar dileriz.,,,,
Pozitif,Rabbim zihin açýklýðý versin Ýnþaallah,,,,
Pozitif,Gelenekçi deðil islam düþkünü insanlar.,,,,
Pozitif,Resmî bir kurumu temsil ediyor olsak da bu cümleyi kurmak zorundayýz!..,,,,
Negatif,ALLAH BELANIZI VERSÝN!,,,,
Negatif,"leþ gibi þarký kliplerinde üstsüz dans edecek yine amk, evin kirasýný ödeyemiyor herhalde",,,,
Pozitif,ben hala dance practice bekliyorum,,,,
Pozitif,hiçbir þey yokmuþ gibi davranýyorum ama bir takým þeyler baya aðýrýma gidiyor,,,,
Pozitif,Yapmayýn iþte þu indirimleri normalde her þey pahalý diyip kandýrýyordum kendimi...,,,,
Pozitif,Sorun yok ama bir þeyler yolunda gitmiyor sanki,,,,
Negatif,Mecnun Þirin'i seviyorsa olay çýkar aq,,,,
Negatif,Boþ sayfasý ve godoþ tayfasý yasta kendisi gýcýk bana kaltaðý hasta,,,,
Pozitif,Bu sapýk þerefsiz,,,,
Pozitif,"YENGEÇ insanlarýn deðiþebileceðine inanmýyor, samimiyetine de inanmýyor hatta bazýlarýnýn insan olduðuna da inanmýyor.",,,,
Pozitif,O üzgün deðil .,,,,
Pozitif,fav limiti yedim iste bu beni cok sinirlendirir,,,,
Pozitif,Gerektiði zaman aðlamaktan çekinmem,,,,
Pozitif,"Çünkü gözyaþlarým, söylenmeyen leri söylemek içindir.",,,,
Pozitif,Saf olduðum için deðil deðer verdiðim için tolere ediyorum yaptýklarýnýzý. Keþke bir kez olsun sevildiðimi hissettirseniz.,,,,
Pozitif,bu talebiniz ne güzel. Keþke vatanýn tüm evlatlarýnýn bu imkana sahip olsaydý.,,,,
Pozitif,Tek bir insanýn bile nazýný çekecek halim yok.. kenarda köþede hiç mi sabrým kalmadý acaba benim..,,,,
Pozitif,Düðün ve diðer kutlamalarda havai fiþek yasaðý gelmesini destekler misiniz?,,,,
Pozitif,Bugünlük bu kadar beyler Allah rahatlýk versin,,,,
Negatif,aykutu sikiyim,,,,
Negatif,Sizin kalýbýnýzý sikiyim ben.,,,,
Negatif,her seyin anasini sikiyim,,,,
Negatif,sevgiyi sikiyim saygýyý da sikiyim,,,,
Negatif,senin ben aklýný sikiyim,,,,
Negatif,kapatýlacak olan sosyal medyalardan dolayý..olur da tiktok'a baslarsam..böyle ulkenýn amýný tipini sikiyim hersey bitti artýk :((,,,,
Negatif,Adamlar 1 lirayý resmen 6 liraya satýyor ya ananýzý sikiyim sizin,,,,
Negatif,kafayý yastýða koyduðu an uyuyan herkesin kafasýný sikiyim,,,,
Negatif,oglum gel de sikiyim,,,,
Negatif,her geleni sikiyom,,,,
Negatif,Seni sevmeyenin anasýný sikiyim,,,,
Negatif,Google seni evire çevire sikiyim ya.,,,,
Negatif,Ananý sikiyim,,,,
Negatif,Hedef ben miyim orospu çocuðu instagram hedef ben miyim sizin koþulunuzu sikiyim,,,,
Negatif,sikiyim ananý marvel,,,,
Negatif,senin olmayan ayaðýný sikiyim,,,,
Negatif,umudu yarýnda olanýn aklýna sokayým yarýn yok,,,,
Pozitif,Bacým bi laf sokayým dedin Rezil oldun..,,,,
Negatif,Dut aðacýndan istekayi avradý mahil bölgene sokayim,,,,
Negatif,Aq yine 7'ye düþtük ya rodrigues senin o ayaðýna sokayým aq  sinirlendim yine amk,,,,
Negatif,Senin aðzýna sokayim göksel piçi,,,,
Negatif,Düzlükte en hýzlý aracý yavaþlatmayý nasýl becerdin o.ospu çocuðu yapacaðýn iþe sokayým senin.,,,,
Pozitif,çocuðu okula yazdýrcaz koronadan korkuyoruz 1 sene daha beklesek mi,,,,
Pozitif,Sevildiðini sanýp mutlu oluyor bir de,,,,
Negatif,allah seni kahretsin,,,,
Negatif,çoluk çocuðundan çýksýn,,,,
Negatif,beter ol,,,,
Negatif,kurþun yaðdýrýrým sana akýllý ol,,,,
Negatif,bir gece ense köküne sýkacam kurþunu,,,,
Negatif,kafaný kesmeme az kaldý,,,,
Pozitif,sýrf giydiði kýyafet yüzünden hiçbir insan tacizi hak etmez,,,,
Negatif,Skimsonik gerizekali tipler dekolteye tecavüzü hak sayýyor ben sizin sexten baska bisey düþünmeyen tarikatinizi skeyim,,,,
Negatif,düzgün konuþ yoksa sana literatürde olmayan küfürleri ederim,,,,
Negatif,Açýk giyinen kadýn “tecavüzü hak eder,,,,
Negatif,Açýk giyinen  geç saatte dýþarýda gezen kadýn tecavüzü hak eder,,,,
Pozitif,Hiçbir kadýn tecavüzü hak etmez!,,,,
Negatif,tipe amkodumun suratsýzý,,,,
Negatif,enes abi keþke anamý siksen,,,,
Negatif,faiþe kadýn,,,,
Negatif,kudur faiþe,,,,
Negatif,Merhamet etmeyene merhamet edilmez kansiz faise ,,,,
Negatif,sikdir faise,,,,
Negatif,Allah önce sizin gibi zihniyetsizleri yola getirsin . Edepsiz de sensin Fahiþe de. Aq,,,,
Negatif,Haydi ordan orospu  sene 2016 . Türbanlý fahiþe,,,,
Negatif,Fahiþe'nin oðlu,,,,
Negatif,Bozkurta it dedi bir soysuz gavat!,,,,
Negatif,Bu tagý açan þizofren gavat kimse çýksýn ortaya bir kaç þey söyleyeceðim,,,,
